parameter_id,description,base_value,unit,owsa_low,owsa_high,psa_distribution,psa_parameters,references,assumption
background_mortality_age_5_9,Annual background mortality hazard from age 5 to less than 10,0.0004259,hazard/year,,,fixed,"",ref_48,
background_mortality_age_10_lt12,Annual background mortality hazard from age 10 to less than 12,0.00038555,hazard/year,,,fixed,"",ref_48,
weight_age_1,Reference body weight at age 1,9.6,kg,,,fixed,"",ref_50,
weight_age_2,Reference body weight at age 2,12.2,kg,,,fixed,"",ref_50,
weight_age_3,Reference body weight at age 3,14.3,kg,,,fixed,"",ref_50,
weight_age_4,Reference body weight at age 4,16.3,kg,,,fixed,"",ref_50,
weight_age_5,Reference body weight at age 5,18.3,kg,,,fixed,"",ref_50,
weight_age_6,Reference body weight at age 6,20.5,kg,,,fixed,"",ref_51,
weight_age_7,Reference body weight at age 7,22.9,kg,,,fixed,"",ref_51,
weight_age_8,Reference body weight at age 8,25.4,kg,,,fixed,"",ref_51,
weight_age_9,Reference body weight at age 9,28.1,kg,,,fixed,"",ref_51,
weight_age_10,Reference body weight at age 10,31.2,kg,,,fixed,"",ref_51,
weight_age_11,Model-derived reference body weight at age 11,34.6,kg,,,fixed,"",ref_51,Derived from median BMI-for-age multiplied by squared median height-for-age.
weight_age_12,Model-derived reference body weight at age 12,38.9,kg,,,fixed,"",ref_51,Derived from median BMI-for-age multiplied by squared median height-for-age.
factor_price_irr_per_iu,Official unit price of plasma-derived SHL FVIII,58000.0,IRR/IU,46400.0,69600.0,fixed,"","","Current analysis price confirmed on 2026-08-15: 58,000 Iranian rial for each IU of human plasma-derived standard-half-life factor VIII."
prophylaxis_iu_per_kg_week,25 IU/kg three times weekly,75.0,IU/kg/week,50.0,100.0,fixed,"","ref_34, ref_6",
joint_bleed_iu_per_kg,FVIII consumption per joint bleed,50.0,IU/kg/event,25.0,75.0,triangular,low=25; mode=50; high=75,"ref_40, ref_34",
non_major_non_joint_iu_per_kg,FVIII consumption per non-major non-joint bleed,50.0,IU/kg/event,25.0,75.0,triangular,low=25; mode=50; high=75,"ref_6, ref_52",
non_ich_major_iu_per_kg,Model-derived FVIII course per non-ICH major bleed,520.0,IU/kg/event,370.0,720.0,triangular,low=370; mode=520; high=720,ref_6,45 IU/kg initial dose plus 19 maintenance doses of 25 IU/kg over 10 days.
ich_iu_per_kg,Model-derived FVIII course per ICH,620.0,IU/kg/event,520.0,720.0,triangular,low=520; mode=620; high=720,ref_6,45 IU/kg initial dose plus 23 maintenance doses of 25 IU/kg over 12 days.
utility_anchor,Common pediatric chronic-utility anchor,0.952,utility,0.9,0.99,beta,alpha=49.163; beta=2.47881,ref_53,Anchor only; not interpreted as full health or an independent prophylaxis effect.
utility_mild,Mild arthropathy utility derived from Fischer ratio,0.9163,utility,0.85,0.952,fixed,"",ref_31,
utility_moderate,Moderate arthropathy utility derived from Fischer ratio,0.833,utility,0.75,0.9,fixed,"",ref_31,
utility_severe,Severe arthropathy utility with monotonic cap,0.833,utility,0.7,0.88,fixed,"",ref_31,Capped at moderate-state utility to preserve monotonicity.
fischer_sf6d_0_4,Fischer mean SF-6D for PS 0-4,0.8,utility,,,beta,alpha=249.141; beta=62.2852,ref_31,
fischer_sf6d_5_12,Fischer mean SF-6D for PS 5-12,0.8,utility,,,beta,alpha=310.311; beta=77.5778,ref_31,
fischer_sf6d_13_21,Fischer mean SF-6D for PS 13-21,0.77,utility,,,beta,alpha=289.716; beta=86.5385,ref_31,
fischer_sf6d_22_39,Fischer mean SF-6D for PS 22-39,0.7,utility,,,beta,alpha=377.008; beta=161.575,ref_31,
fischer_sf6d_40_78,Fischer mean SF-6D for PS 40-78,0.71,utility,,,beta,alpha=422.151; beta=172.428,ref_31,
minor_bleed_decrement,Acute decrement for joint and non-major non-joint bleeds,0.16,utility,0.128,0.192,triangular,low=0.128; mode=0.16; high=0.192,ref_35,
minor_bleed_duration_days,Acute utility duration for minor bleeds,2.0,day/event,1.0,3.0,triangular,low=1; mode=2; high=3,ref_6,Treatment-duration evidence is used as a proxy for acute utility duration.
non_ich_major_utility_cap,Acute utility cap for non-ICH major bleed,0.65,utility,0.15,0.86,triangular,low=0.15; mode=0.65; high=0.86,ref_54,Nonfatal GI bleed is an indirect proxy for pediatric hemophilia.
non_ich_major_duration_days,Acute utility duration for non-ICH major bleed,7.0,day/event,5.0,10.0,triangular,low=5; mode=7; high=10,ref_54,
ich_acute_utility_cap,Acute ICH utility cap,0.15,utility,0.0,0.65,triangular,low=0; mode=0.15; high=0.65,ref_54,Adult preference weight is used only as an acute-severity proxy.
ich_duration_days,Duration of the acute ICH phase,12.0,day/event,10.0,14.0,triangular,low=10; mode=12; high=14,ref_6,WFH hemostatic coverage duration is used as a proxy for acute utility duration.
post_ich_utility_cap,Permanent utility cap for persistent post-ICH sequela,0.35,utility,0.28,0.42,beta_pert,minimum=0.28; mode=0.35; maximum=0.42,ref_55,Conservative indirect mapping of any recorded sequela to mRS 3-5 disability.
post_ich_mild_utility_cap,Alternative cap for mild/no-moderate post-ICH disability,0.78,utility,0.63,0.94,beta_pert,minimum=0.63; mode=0.78; maximum=0.94,ref_55,
cost_discount_rate,Annual discount rate for costs,0.058,proportion/year,0.0,0.058,fixed,"","ref_56, ref_57, ref_58",
qaly_discount_rate,Annual discount rate for health outcomes,0.05,proportion/year,0.0,0.05,fixed,"","ref_56, ref_57, ref_58",
gdp_per_capita_irr,GDP per capita used for threshold construction,1800000000.0,IRR/person,,,fixed,"","",Analysis value; replace with a dated official source before a price-year-specific publication run.
wtp_irr_per_qaly,Primary orphan-disease willingness-to-pay threshold,18000000000.0,IRR/QALY,1800000000.0,18000000000.0,fixed,"","ref_60, ref_61",Ten-times-GDP is a policy scenario and not an official universal Iranian threshold.
